Ciudad,Radio_m
Arrasate/Mondragón,1163.9796526135333
Barakaldo,476.54077042919715
Basauri,392.3774608510282
Bilbao,328.2865368069945
Donostia / San Sebastián,547.9253051088308
Durango,568.6089611905447
Eibar,905.4487187297073
Erandio,839.2659461763853
Errenteria,852.9134417858171
Galdakao,1067.3820924115514
Getxo,377.3765578306471
Hernani,1327.720912664125
Irún,789.6444077714955
Leioa,480.5622828269509
Portugalete,255.79880865273316
Santurtzi,420.7779492220157
Sestao,345.4259046923416
Vitoria-Gasteiz,996.5151594462355
Zarautz,741.8943702626697
