Ciudad,Radio_m,BSs_objetivo
Arrasate Edo Mondragon,1163.9796526135333,10
San Vicente De Barakaldo/San Bizenti-Barakaldo,476.54077042919715,43
Basauri,392.3774608510282,18
Bilbao,328.2865368069945,147
Donostia/San Sebastian,547.9253051088308,78
Durango,568.6089611905447,13
Eibar,905.4487187297073,12
Erandio,839.2659461763853,11
Errenteria,852.9134417858171,17
Galdakao,1067.3820924115514,11
Getxo,377.3765578306471,33
Hernani,1327.720912664125,9
Irun,789.6444077714955,26
Leioa,480.5622828269509,20
Portugalete,255.79880865273316,20
Santurtzi,420.7779492220157,20
Sestao,345.4259046923416,12
Vitoria-Gasteiz,996.5151594462355,108
Zarautz,741.8943702626697,10
Laudio/Llodio, 850,5
